outcome,match,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
X3_neverbalni_pamet_P1.4_HS,KOS,.116,,0,.560,,.886,
X3_neverbalni_pamet_P1.4_HS,SLO,.993,,0,.225,,.722,
X3_neverbalni_pamet_P1.4_HS,POR,.901,,0,.309,,.456,
X3_neverbalni_pamet_odd_sum,DO,.800,,0,.002,*,.774,
X3_neverbalni_pamet_odd_sum,VE,.561,,0,.387,,.956,
X3_neverbalni_pamet_odd_sum,KOD,.257,,0,.104,,.754,
X3_neverbalni_pamet_odd_sum,PO,.879,,0,.005,*,.682,
X3_neverbalni_pamet_odd_sum,ŘO,.706,,0,.049,*,.946,
X3_neverbalni_pamet_odd_sum,POČ,.927,,0,.068,,.652,
X3_neverbalni_pamet_odd_sum,KOS,.055,,0,.600,,.604,
X3_neverbalni_pamet_odd_sum,SLO,.156,,0,.004,*,.864,
X3_neverbalni_pamet_odd_sum,POR,.573,,0,.004,*,.994,
