outcome,match,(Intercept),MR,mental_age,MR:mental_age
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,13.65 (8.82),6.38 (12.44),2.11 (1.09),-1.34 (1.55)
X1_verbalni_pamet_a_uceni_pok_1.4,POR,13.13 (5.91),7.98 (7.88),2.38 (0.72),-1.74 (0.96)
X1_verbalni_pamet_a_uceni_opak_1.4,DO,3.24 (1.61),-0.67 (2.17),-0.16 (0.19),0.05 (0.26)
X1_verbalni_pamet_a_uceni_opak_1.4,VE,0.77 (2.49),-4.19 (3.53),0.10 (0.29),0.50 (0.41)
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,2.61 (1.56),-3.44 (2.04),-0.02 (0.19),0.35 (0.25)
X1_verbalni_pamet_a_uceni_opak_1.4,PO,5.72 (2.14),-4.64 (2.96),-0.38 (0.25),0.46 (0.34)
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,2.76 (1.31),-2.15 (1.73),-0.06 (0.14),0.18 (0.19)
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,5.26 (2.78),-8.88 (3.73),-0.37 (0.36),1.07 (0.48)
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,4.59 (2.33),-2.35 (2.81),-0.28 (0.30),0.21 (0.37)
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,3.51 (2.05),0.53 (2.89),-0.19 (0.25),-0.10 (0.36)
X1_verbalni_pamet_a_uceni_opak_1.4,POR,1.36 (1.96),0.12 (2.61),0.15 (0.24),-0.12 (0.32)
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,1.99 (1.14),-1.56 (1.53),-0.14 (0.14),0.20 (0.18)
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,1.92 (1.90),-2.11 (2.70),-0.12 (0.22),0.25 (0.31)
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,1.58 (0.86),-1.23 (1.12),-0.08 (0.10),0.15 (0.13)
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,0.83 (1.73),-1.50 (2.40),0.06 (0.20),0.12 (0.28)
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,0.68 (1.00),0.36 (1.32),0.06 (0.11),-0.07 (0.14)
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,3.36 (2.06),-3.87 (2.76),-0.25 (0.26),0.44 (0.35)
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,1.01 (1.48),-0.48 (1.79),0.00 (0.19),0.05 (0.23)
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,1.20 (1.50),-1.81 (2.11),-0.02 (0.19),0.21 (0.26)
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,1.14 (1.12),-0.46 (1.49),0.00 (0.14),0.02 (0.18)
X1_verbalni_pamet_a_uceni_pok5,DO,1.40 (1.15),3.62 (1.56),0.38 (0.14),-0.54 (0.19)
X1_verbalni_pamet_a_uceni_pok5,VE,4.68 (1.86),-0.21 (2.64),-0.06 (0.21),-0.02 (0.30)
X1_verbalni_pamet_a_uceni_pok5,KOD,3.41 (0.97),0.49 (1.27),0.11 (0.12),-0.12 (0.15)
X1_verbalni_pamet_a_uceni_pok5,PO,3.53 (1.39),0.78 (1.93),0.12 (0.16),-0.19 (0.22)
X1_verbalni_pamet_a_uceni_pok5,ŘO,2.36 (0.90),0.79 (1.19),0.27 (0.10),-0.20 (0.13)
X1_verbalni_pamet_a_uceni_pok5,POČ,6.58 (1.92),-3.48 (2.57),-0.31 (0.25),0.40 (0.33)
X1_verbalni_pamet_a_uceni_pok5,KOS,4.65 (1.42),-0.40 (1.72),-0.05 (0.18),-0.02 (0.23)
X1_verbalni_pamet_a_uceni_pok5,SLO,4.42 (1.47),0.68 (2.07),-0.02 (0.18),-0.14 (0.26)
X1_verbalni_pamet_a_uceni_pok5,POR,1.10 (1.20),2.82 (1.60),0.40 (0.15),-0.42 (0.20)
X1_verbalni_pamet_a_uceni_pok6,DO,1.64 (2.10),6.26 (2.84),0.75 (0.25),-0.97 (0.34)
X1_verbalni_pamet_a_uceni_pok6,VE,2.55 (3.55),-2.14 (5.04),0.65 (0.41),0.03 (0.58)
X1_verbalni_pamet_a_uceni_pok6,KOD,-0.49 (1.64),4.73 (2.15),0.90 (0.19),-0.65 (0.26)
X1_verbalni_pamet_a_uceni_pok6,PO,-2.25 (2.88),3.43 (3.99),1.22 (0.34),-0.63 (0.46)
X1_verbalni_pamet_a_uceni_pok6,ŘO,1.86 (1.65),1.82 (2.19),0.61 (0.18),-0.32 (0.23)
X1_verbalni_pamet_a_uceni_pok6,POČ,-3.32 (3.65),1.79 (4.90),1.34 (0.47),-0.34 (0.63)
X1_verbalni_pamet_a_uceni_pok6,KOS,-3.69 (2.63),7.36 (3.17),1.36 (0.34),-1.01 (0.42)
X1_verbalni_pamet_a_uceni_pok6,SLO,-2.73 (3.09),8.29 (4.36),1.26 (0.38),-1.18 (0.54)
X1_verbalni_pamet_a_uceni_pok6,POR,-1.25 (2.19),8.08 (2.92),1.05 (0.27),-1.13 (0.36)
X1_verbalni_pamet_a_uceni_pok7,DO,1.32 (2.53),4.83 (3.42),0.77 (0.30),-0.85 (0.41)
X1_verbalni_pamet_a_uceni_pok7,VE,3.48 (4.50),-9.34 (6.38),0.49 (0.52),0.84 (0.74)
X1_verbalni_pamet_a_uceni_pok7,KOD,2.28 (1.93),-1.19 (2.52),0.55 (0.23),0.01 (0.30)
X1_verbalni_pamet_a_uceni_pok7,PO,0.79 (2.87),-3.27 (3.97),0.87 (0.33),0.08 (0.46)
X1_verbalni_pamet_a_uceni_pok7,ŘO,2.51 (1.87),0.61 (2.48),0.53 (0.20),-0.26 (0.27)
X1_verbalni_pamet_a_uceni_pok7,POČ,1.53 (3.60),-9.22 (4.83),0.71 (0.46),1.00 (0.62)
X1_verbalni_pamet_a_uceni_pok7,KOS,-1.35 (3.21),5.21 (3.86),1.05 (0.42),-0.83 (0.51)
X1_verbalni_pamet_a_uceni_pok7,SLO,2.30 (3.64),-2.62 (5.13),0.62 (0.45),0.11 (0.64)
X1_verbalni_pamet_a_uceni_pok7,POR,0.25 (2.54),1.50 (3.39),0.89 (0.31),-0.42 (0.41)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,38.58 (3.53),5.77 (4.78),0.72 (0.42),-0.90 (0.57)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,40.29 (4.77),-14.94 (6.77),0.65 (0.55),1.39 (0.78)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,38.62 (2.74),-1.35 (3.58),0.60 (0.32),0.12 (0.43)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,34.12 (3.88),-0.84 (5.38),1.24 (0.45),-0.11 (0.63)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,38.56 (2.48),1.36 (3.29),0.66 (0.26),-0.32 (0.35)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,30.07 (5.27),0.50 (7.07),1.77 (0.67),-0.17 (0.91)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,31.81 (4.21),8.99 (5.08),1.57 (0.55),-1.28 (0.67)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,38.65 (4.69),2.18 (6.60),0.67 (0.58),-0.41 (0.82)
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,38.01 (3.49),5.94 (4.65),0.72 (0.42),-0.86 (0.57)
