outcome,match,(Intercept),MR,mental_age,MR:mental_age
X4_sluchova_pozornost_inhibice,KOS,11.89 (3.72),-12.40 (4.49),-1.32 (0.48),1.43 (0.59)
X4_sluchova_pozornost_inhibice,SLO,14.13 (3.91),-12.78 (5.51),-1.52 (0.49),1.38 (0.68)
X4_sluchova_pozornost_inhibice,POR,7.64 (2.79),-7.20 (3.72),-0.75 (0.34),0.72 (0.45)
X5_zrakova_pozornost_n_hlav,DO,-7.53 (18.15),73.02 (24.52),7.96 (2.17),-6.78 (2.95)
X5_zrakova_pozornost_n_hlav,VE,42.86 (25.82),-65.09 (36.65),2.21 (2.98),9.15 (4.24)
X5_zrakova_pozornost_n_hlav,KOD,-4.54 (13.81),49.72 (18.05),7.45 (1.64),-3.60 (2.17)
X5_zrakova_pozornost_n_hlav,PO,10.04 (19.92),24.64 (27.59),5.82 (2.32),-1.03 (3.21)
X5_zrakova_pozornost_n_hlav,ŘO,3.23 (12.64),57.21 (16.75),6.15 (1.34),-4.47 (1.79)
X5_zrakova_pozornost_n_hlav,POČ,1.20 (26.80),26.47 (35.96),6.95 (3.43),-0.78 (4.61)
X5_zrakova_pozornost_n_hlav,KOS,-2.77 (21.51),47.47 (25.93),7.32 (2.79),-3.10 (3.40)
X5_zrakova_pozornost_n_hlav,SLO,15.35 (22.05),23.97 (31.08),5.00 (2.74),-0.50 (3.86)
X5_zrakova_pozornost_n_hlav,POR,-10.91 (16.29),90.12 (21.72),8.65 (1.97),-9.19 (2.65)
X5_zrakova_pozornost_n_opomenuti,DO,4.78 (5.85),1.45 (7.90),-0.27 (0.70),0.14 (0.95)
X5_zrakova_pozornost_n_opomenuti,VE,8.53 (9.48),4.12 (13.46),-0.58 (1.10),-0.29 (1.56)
X5_zrakova_pozornost_n_opomenuti,KOD,4.57 (4.43),4.63 (5.79),-0.20 (0.52),-0.31 (0.69)
X5_zrakova_pozornost_n_opomenuti,PO,9.05 (7.02),3.72 (9.71),-0.75 (0.82),-0.15 (1.13)
X5_zrakova_pozornost_n_opomenuti,ŘO,5.96 (3.93),2.03 (5.20),-0.42 (0.42),0.10 (0.56)
X5_zrakova_pozornost_n_opomenuti,POČ,8.69 (11.90),-2.95 (15.96),-0.54 (1.52),0.47 (2.05)
X5_zrakova_pozornost_n_opomenuti,KOS,5.35 (6.92),7.01 (8.34),-0.30 (0.90),-0.69 (1.09)
X5_zrakova_pozornost_n_opomenuti,SLO,11.16 (7.61),-19.36 (10.73),-0.96 (0.94),2.66 (1.33)
X5_zrakova_pozornost_n_opomenuti,POR,4.75 (5.08),-4.24 (6.78),-0.28 (0.62),0.88 (0.83)
X5_zrakova_pozornost_n_zamena,DO,7.70 (4.64),-5.43 (6.26),-0.66 (0.56),0.59 (0.75)
X5_zrakova_pozornost_n_zamena,VE,2.91 (6.99),2.26 (9.92),-0.15 (0.81),-0.26 (1.15)
X5_zrakova_pozornost_n_zamena,KOD,6.76 (3.68),-2.34 (4.81),-0.56 (0.44),0.21 (0.58)
X5_zrakova_pozornost_n_zamena,PO,9.87 (5.45),-2.58 (7.55),-0.93 (0.63),0.27 (0.88)
X5_zrakova_pozornost_n_zamena,ŘO,6.00 (3.33),-1.33 (4.41),-0.38 (0.35),0.04 (0.47)
X5_zrakova_pozornost_n_zamena,POČ,12.35 (7.28),-5.38 (9.77),-1.33 (0.93),0.64 (1.25)
X5_zrakova_pozornost_n_zamena,KOS,7.15 (5.78),-0.56 (6.97),-0.59 (0.75),-0.09 (0.91)
X5_zrakova_pozornost_n_zamena,SLO,11.02 (5.92),-12.30 (8.35),-1.10 (0.73),1.48 (1.04)
X5_zrakova_pozornost_n_zamena,POR,6.55 (4.34),-3.65 (5.79),-0.54 (0.53),0.39 (0.71)
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,36.37 (5.84),-16.42 (7.89),-1.42 (0.70),1.97 (0.95)
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,31.29 (7.07),10.16 (10.03),-1.14 (0.82),-0.85 (1.16)
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,43.27 (5.21),-8.50 (6.80),-2.09 (0.62),0.74 (0.82)
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,49.07 (7.46),-16.63 (10.33),-2.70 (0.87),1.74 (1.20)
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,45.57 (4.71),-19.01 (6.25),-2.23 (0.50),1.97 (0.67)
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,56.14 (9.54),-8.06 (12.80),-3.83 (1.22),0.74 (1.64)
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,53.59 (8.54),-32.94 (10.29),-3.50 (1.11),4.01 (1.35)
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,51.63 (8.52),-16.22 (12.01),-3.31 (1.06),1.92 (1.49)
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,45.83 (6.19),-14.19 (8.25),-2.47 (0.75),1.54 (1.01)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,0.18 (0.55),0.46 (0.74),-0.01 (0.07),-0.02 (0.09)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,VE,0.28 (0.88),0.46 (1.24),-0.03 (0.10),-0.01 (0.14)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOD,0.12 (0.42),0.75 (0.56),-0.01 (0.05),-0.05 (0.07)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,PO,-0.33 (0.67),-0.38 (0.93),0.05 (0.08),0.08 (0.11)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,ŘO,0.13 (0.39),0.16 (0.52),-0.01 (0.04),0.02 (0.06)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POČ,-0.00 (0.84),0.65 (1.12),0.00 (0.11),-0.03 (0.14)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,KOS,0.19 (0.67),0.45 (0.81),-0.02 (0.09),-0.01 (0.11)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,SLO,0.19 (0.70),0.95 (0.98),-0.02 (0.09),-0.08 (0.12)
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,POR,0.15 (0.50),0.60 (0.67),-0.01 (0.06),-0.03 (0.08)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,DO,0.58 (0.46),0.32 (0.62),-0.04 (0.06),-0.04 (0.08)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,VE,-0.45 (0.67),1.42 (0.95),0.07 (0.08),-0.15 (0.11)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOD,0.89 (0.41),-0.13 (0.53),-0.08 (0.05),0.02 (0.06)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,PO,0.87 (0.58),-0.99 (0.80),-0.05 (0.07),0.10 (0.09)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,ŘO,0.86 (0.36),0.01 (0.48),-0.07 (0.04),0.00 (0.05)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POČ,1.08 (0.82),-0.31 (1.10),-0.09 (0.11),0.03 (0.14)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,KOS,0.96 (0.68),-0.76 (0.81),-0.08 (0.09),0.09 (0.11)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,SLO,0.53 (0.55),-0.53 (0.77),-0.04 (0.07),0.08 (0.10)
X7_inhibice_a_presun_pozornosti_pojm_opr_chyby,POR,0.60 (0.49),-0.68 (0.65),-0.04 (0.06),0.09 (0.08)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,DO,0.76 (0.75),0.78 (1.02),-0.05 (0.09),-0.06 (0.12)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,VE,-0.17 (1.16),1.88 (1.65),0.04 (0.13),-0.17 (0.19)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOD,1.02 (0.60),0.62 (0.78),-0.09 (0.07),-0.03 (0.09)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,PO,0.53 (0.96),-1.37 (1.33),0.00 (0.11),0.18 (0.15)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,ŘO,1.00 (0.55),0.17 (0.73),-0.08 (0.06),0.02 (0.08)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POČ,1.08 (1.23),0.34 (1.65),-0.09 (0.16),-0.01 (0.21)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,KOS,1.16 (0.99),-0.30 (1.19),-0.10 (0.13),0.08 (0.16)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,SLO,0.72 (0.95),0.42 (1.35),-0.05 (0.12),-0.00 (0.17)
X7_inhibice_a_presun_pozornosti_pojm_sum_chyby,POR,0.75 (0.73),-0.08 (0.97),-0.06 (0.09),0.06 (0.12)
X7_inhibice_a_presun_pozornosti_inhi_cas,DO,67.67 (11.84),-34.80 (16.00),-3.63 (1.42),3.90 (1.92)
X7_inhibice_a_presun_pozornosti_inhi_cas,VE,44.16 (13.27),35.03 (18.84),-1.37 (1.53),-3.78 (2.18)
X7_inhibice_a_presun_pozornosti_inhi_cas,KOD,56.98 (7.96),-5.02 (10.41),-2.38 (0.94),0.19 (1.25)
X7_inhibice_a_presun_pozornosti_inhi_cas,PO,52.05 (11.54),5.29 (15.98),-1.88 (1.34),-0.78 (1.86)
X7_inhibice_a_presun_pozornosti_inhi_cas,ŘO,63.50 (7.34),-18.59 (9.73),-3.02 (0.78),1.88 (1.04)
X7_inhibice_a_presun_pozornosti_inhi_cas,POČ,58.54 (17.64),12.18 (23.67),-2.61 (2.26),-2.05 (3.04)
X7_inhibice_a_presun_pozornosti_inhi_cas,KOS,55.28 (13.08),-5.39 (15.76),-2.21 (1.69),0.14 (2.07)
X7_inhibice_a_presun_pozornosti_inhi_cas,SLO,60.67 (13.47),-9.17 (18.99),-3.10 (1.67),1.02 (2.36)
X7_inhibice_a_presun_pozornosti_inhi_cas,POR,61.48 (9.85),-33.50 (13.13),-3.07 (1.19),3.97 (1.60)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,DO,0.81 (1.41),1.11 (1.91),0.02 (0.17),-0.17 (0.23)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,VE,4.94 (3.31),-1.30 (4.69),-0.46 (0.38),0.13 (0.54)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOD,1.01 (0.98),1.03 (1.28),-0.02 (0.12),-0.14 (0.15)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,PO,0.18 (1.40),0.46 (1.94),0.05 (0.16),-0.03 (0.23)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,ŘO,1.75 (0.96),0.32 (1.27),-0.10 (0.10),-0.05 (0.14)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POČ,1.27 (1.98),0.39 (2.65),-0.07 (0.25),-0.05 (0.34)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,KOS,-1.52 (1.69),3.21 (2.03),0.33 (0.22),-0.46 (0.27)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,SLO,0.29 (1.45),1.53 (2.04),0.05 (0.18),-0.18 (0.25)
X7_inhibice_a_presun_pozornosti_inhi_neopr_chyby,POR,0.49 (1.04),-0.68 (1.39),0.02 (0.13),0.10 (0.17)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,DO,3.40 (1.06),-1.40 (1.43),-0.31 (0.13),0.17 (0.17)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,VE,-0.42 (1.10),2.45 (1.56),0.10 (0.13),-0.24 (0.18)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOD,2.22 (0.89),-0.95 (1.16),-0.15 (0.11),0.10 (0.14)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,PO,2.19 (0.73),-1.58 (1.01),-0.21 (0.09),0.25 (0.12)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,ŘO,2.72 (0.76),-1.10 (1.01),-0.21 (0.08),0.13 (0.11)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POČ,0.92 (1.14),0.23 (1.54),-0.01 (0.15),-0.02 (0.20)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,KOS,3.08 (1.37),-1.16 (1.65),-0.29 (0.18),0.14 (0.22)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,SLO,1.20 (0.92),-0.81 (1.30),-0.07 (0.11),0.14 (0.16)
X7_inhibice_a_presun_pozornosti_inhi_opr_chyby,POR,2.60 (1.02),-2.53 (1.36),-0.22 (0.12),0.33 (0.17)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,DO,4.21 (1.80),-0.29 (2.44),-0.29 (0.22),0.01 (0.29)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,VE,4.52 (3.72),1.15 (5.28),-0.36 (0.43),-0.11 (0.61)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOD,3.24 (1.42),0.08 (1.86),-0.17 (0.17),-0.04 (0.22)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,PO,2.37 (1.74),-1.11 (2.41),-0.17 (0.20),0.21 (0.28)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,ŘO,4.47 (1.24),-0.78 (1.64),-0.31 (0.13),0.08 (0.18)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POČ,2.20 (2.56),0.62 (3.44),-0.08 (0.33),-0.07 (0.44)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,KOS,1.56 (2.31),2.05 (2.79),0.04 (0.30),-0.31 (0.37)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,SLO,1.49 (1.95),0.72 (2.74),-0.03 (0.24),-0.05 (0.34)
X7_inhibice_a_presun_pozornosti_inhi_sum_chyby,POR,3.09 (1.53),-3.21 (2.05),-0.20 (0.19),0.43 (0.25)
X7_inhibice_a_presun_pozornosti_presun_cas,DO,101.57 (16.16),-37.34 (21.83),-4.91 (1.94),4.05 (2.63)
X7_inhibice_a_presun_pozornosti_presun_cas,VE,77.45 (20.07),27.65 (28.48),-2.55 (2.32),-3.03 (3.29)
X7_inhibice_a_presun_pozornosti_presun_cas,KOD,95.26 (12.29),-15.85 (16.07),-4.06 (1.46),1.21 (1.93)
X7_inhibice_a_presun_pozornosti_presun_cas,PO,94.22 (21.91),-19.94 (30.34),-3.81 (2.55),1.80 (3.53)
X7_inhibice_a_presun_pozornosti_presun_cas,ŘO,97.30 (11.55),-37.32 (15.31),-4.20 (1.23),3.89 (1.64)
X7_inhibice_a_presun_pozornosti_presun_cas,POČ,106.36 (29.56),-11.15 (39.66),-5.69 (3.78),0.75 (5.09)
X7_inhibice_a_presun_pozornosti_presun_cas,KOS,98.80 (20.26),-31.15 (24.42),-4.86 (2.63),3.42 (3.20)
X7_inhibice_a_presun_pozornosti_presun_cas,SLO,112.31 (20.88),-37.09 (29.44),-6.42 (2.59),4.16 (3.66)
X7_inhibice_a_presun_pozornosti_presun_cas,POR,95.52 (13.19),-29.78 (17.59),-4.60 (1.60),3.53 (2.15)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,DO,11.47 (4.32),-4.18 (5.84),-0.90 (0.52),0.57 (0.70)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,VE,10.97 (6.60),0.49 (9.36),-1.00 (0.76),0.20 (1.08)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,KOD,9.82 (3.33),-0.01 (4.35),-0.66 (0.39),-0.01 (0.52)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,PO,9.00 (4.28),-0.47 (5.92),-0.81 (0.50),0.35 (0.69)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,ŘO,8.47 (2.77),0.66 (3.68),-0.58 (0.29),0.06 (0.39)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,POČ,14.64 (5.89),-2.32 (7.90),-1.51 (0.75),0.51 (1.01)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,KOS,14.49 (4.99),-6.18 (6.01),-1.44 (0.65),0.92 (0.79)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,SLO,10.97 (5.46),-0.66 (7.69),-0.97 (0.68),0.25 (0.96)
X7_inhibice_a_presun_pozornosti_presun_neopr_chyby,POR,11.13 (3.75),-6.31 (5.00),-0.95 (0.45),0.92 (0.61)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,DO,2.13 (1.67),0.80 (2.26),-0.09 (0.20),-0.09 (0.27)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,VE,-0.09 (2.49),0.09 (3.53),0.18 (0.29),-0.00 (0.41)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,KOD,3.74 (1.51),-2.24 (1.97),-0.27 (0.18),0.27 (0.24)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,PO,4.59 (1.95),-8.51 (2.71),-0.36 (0.23),1.01 (0.32)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,ŘO,2.74 (1.37),-2.62 (1.81),-0.11 (0.14),0.27 (0.19)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,POČ,1.60 (2.87),-4.33 (3.86),0.04 (0.37),0.51 (0.49)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,KOS,2.56 (2.40),-1.65 (2.89),-0.09 (0.31),0.17 (0.38)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,SLO,3.24 (2.31),-4.79 (3.26),-0.17 (0.29),0.55 (0.40)
X7_inhibice_a_presun_pozornosti_presun_opr_chyby,POR,2.58 (1.53),-2.57 (2.03),-0.15 (0.18),0.34 (0.25)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,DO,13.60 (4.19),-3.38 (5.66),-0.99 (0.50),0.48 (0.68)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,VE,10.89 (6.40),0.58 (9.08),-0.82 (0.74),0.19 (1.05)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,KOD,13.56 (3.24),-2.25 (4.23),-0.93 (0.38),0.26 (0.51)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,PO,13.59 (4.26),-8.98 (5.90),-1.17 (0.50),1.35 (0.69)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,ŘO,11.21 (2.84),-1.96 (3.76),-0.69 (0.30),0.33 (0.40)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,POČ,16.25 (5.92),-6.65 (7.95),-1.47 (0.76),1.02 (1.02)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,KOS,17.05 (4.82),-7.83 (5.81),-1.53 (0.62),1.10 (0.76)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,SLO,14.22 (5.44),-5.45 (7.67),-1.14 (0.67),0.80 (0.95)
X7_inhibice_a_presun_pozornosti_presun_sum_chyby,POR,13.70 (3.65),-8.88 (4.87),-1.09 (0.44),1.26 (0.59)
X8_pracovni_pamet_sumaHS,DO,-2.69 (2.43),7.22 (3.29),1.37 (0.29),-1.24 (0.40)
X8_pracovni_pamet_sumaHS,VE,4.65 (4.31),1.00 (6.11),0.28 (0.50),-0.29 (0.71)
X8_pracovni_pamet_sumaHS,KOD,-1.54 (2.21),6.40 (2.88),1.11 (0.26),-1.01 (0.35)
X8_pracovni_pamet_sumaHS,PO,6.14 (2.62),-3.07 (3.63),0.21 (0.30),0.09 (0.42)
X8_pracovni_pamet_sumaHS,ŘO,4.10 (1.54),-1.35 (2.05),0.38 (0.16),-0.05 (0.22)
X8_pracovni_pamet_sumaHS,POČ,6.95 (3.53),-5.36 (4.74),0.12 (0.45),0.41 (0.61)
X8_pracovni_pamet_sumaHS,KOS,0.71 (2.89),1.70 (3.49),0.86 (0.37),-0.42 (0.46)
X8_pracovni_pamet_sumaHS,SLO,7.52 (2.86),-3.36 (4.04),0.00 (0.36),0.18 (0.50)
X8_pracovni_pamet_sumaHS,POR,-2.88 (2.46),7.45 (3.28),1.40 (0.30),-1.27 (0.40)
X9_verbalni_fluence_K_sum,DO,3.83 (4.10),6.48 (5.54),0.49 (0.49),-0.86 (0.67)
X9_verbalni_fluence_K_sum,VE,-1.65 (5.49),5.59 (7.79),1.08 (0.63),-0.68 (0.90)
X9_verbalni_fluence_K_sum,KOD,-7.48 (2.47),11.68 (3.23),1.74 (0.29),-1.34 (0.39)
X9_verbalni_fluence_K_sum,PO,7.29 (3.97),-2.88 (5.50),-0.05 (0.46),0.40 (0.64)
X9_verbalni_fluence_K_sum,ŘO,-4.04 (2.61),9.74 (3.41),1.23 (0.28),-1.04 (0.37)
X9_verbalni_fluence_K_sum,POČ,-2.18 (5.95),-4.42 (7.99),1.32 (0.76),0.50 (1.02)
X9_verbalni_fluence_K_sum,KOS,-8.22 (4.17),17.09 (5.02),1.89 (0.54),-2.11 (0.66)
X9_verbalni_fluence_K_sum,SLO,-5.13 (4.03),5.49 (5.68),1.55 (0.50),-0.67 (0.71)
X9_verbalni_fluence_K_sum,POR,-3.17 (2.76),2.04 (3.69),1.24 (0.34),-0.17 (0.45)
X9_verbalni_fluence_V_sum,DO,-3.75 (2.66),11.80 (3.59),1.14 (0.32),-1.50 (0.43)
X9_verbalni_fluence_V_sum,VE,-4.26 (6.41),8.33 (9.10),1.23 (0.74),-1.10 (1.05)
X9_verbalni_fluence_V_sum,KOD,-7.16 (1.93),8.91 (2.52),1.45 (0.23),-1.00 (0.30)
X9_verbalni_fluence_V_sum,PO,0.25 (3.20),3.61 (4.44),0.61 (0.37),-0.45 (0.52)
X9_verbalni_fluence_V_sum,ŘO,-3.05 (1.82),6.64 (2.38),0.85 (0.20),-0.66 (0.26)
X9_verbalni_fluence_V_sum,POČ,-7.51 (3.52),-0.31 (4.72),1.68 (0.45),0.02 (0.61)
X9_verbalni_fluence_V_sum,KOS,-5.72 (3.48),12.31 (4.19),1.34 (0.45),-1.53 (0.55)
X9_verbalni_fluence_V_sum,SLO,-3.13 (3.21),0.04 (4.52),1.01 (0.40),0.04 (0.56)
X9_verbalni_fluence_V_sum,POR,-5.96 (1.98),4.58 (2.64),1.29 (0.24),-0.44 (0.32)
X9_verbalni_fluence_KV_sum,DO,0.08 (6.14),18.27 (8.29),1.63 (0.74),-2.36 (1.00)
X9_verbalni_fluence_KV_sum,VE,-5.91 (10.54),13.93 (14.95),2.30 (1.22),-1.78 (1.73)
X9_verbalni_fluence_KV_sum,KOD,-14.64 (4.07),20.59 (5.31),3.19 (0.48),-2.34 (0.64)
X9_verbalni_fluence_KV_sum,PO,7.54 (6.57),0.73 (9.10),0.55 (0.76),-0.05 (1.06)
X9_verbalni_fluence_KV_sum,ŘO,-7.10 (4.03),16.38 (5.26),2.07 (0.44),-1.70 (0.57)
X9_verbalni_fluence_KV_sum,POČ,-9.69 (8.51),-4.73 (11.41),3.00 (1.09),0.52 (1.46)
X9_verbalni_fluence_KV_sum,KOS,-13.94 (7.05),29.40 (8.50),3.23 (0.91),-3.64 (1.11)
X9_verbalni_fluence_KV_sum,SLO,-8.27 (6.60),5.53 (9.30),2.56 (0.82),-0.63 (1.15)
X9_verbalni_fluence_KV_sum,POR,-9.13 (4.26),6.63 (5.67),2.53 (0.52),-0.61 (0.69)
X9_verbalni_fluence_zvire_sum,DO,8.26 (3.89),11.33 (5.25),0.80 (0.47),-1.45 (0.63)
X9_verbalni_fluence_zvire_sum,VE,8.93 (6.60),-5.70 (9.36),0.82 (0.76),0.48 (1.08)
X9_verbalni_fluence_zvire_sum,KOD,5.87 (3.27),3.54 (4.28),1.09 (0.39),-0.45 (0.51)
X9_verbalni_fluence_zvire_sum,PO,7.09 (4.67),3.18 (6.47),0.94 (0.54),-0.46 (0.75)
X9_verbalni_fluence_zvire_sum,ŘO,6.82 (3.05),6.46 (3.99),1.01 (0.33),-0.89 (0.43)
X9_verbalni_fluence_zvire_sum,POČ,8.08 (6.12),-10.07 (8.20),0.82 (0.78),1.31 (1.05)
X9_verbalni_fluence_zvire_sum,KOS,7.72 (4.98),10.16 (6.00),0.90 (0.65),-1.39 (0.79)
X9_verbalni_fluence_zvire_sum,SLO,12.54 (5.44),-3.00 (7.67),0.25 (0.67),0.36 (0.95)
X9_verbalni_fluence_zvire_sum,POR,14.85 (3.74),-4.66 (4.99),-0.07 (0.45),0.60 (0.61)
X9_verbalni_fluence_switch_sum,DO,3.82 (2.24),10.11 (3.03),0.74 (0.27),-1.26 (0.36)
X9_verbalni_fluence_switch_sum,VE,2.40 (3.59),3.71 (5.09),0.95 (0.41),-0.53 (0.59)
X9_verbalni_fluence_switch_sum,KOD,-1.83 (1.83),8.14 (2.39),1.48 (0.22),-1.04 (0.29)
X9_verbalni_fluence_switch_sum,PO,-0.34 (2.56),8.91 (3.55),1.16 (0.30),-1.02 (0.41)
X9_verbalni_fluence_switch_sum,ŘO,2.35 (1.72),6.11 (2.25),0.86 (0.19),-0.72 (0.24)
X9_verbalni_fluence_switch_sum,POČ,-3.94 (3.72),5.38 (4.99),1.72 (0.48),-0.64 (0.64)
X9_verbalni_fluence_switch_sum,KOS,-1.49 (2.94),12.87 (3.54),1.44 (0.38),-1.67 (0.46)
X9_verbalni_fluence_switch_sum,SLO,-1.95 (2.80),7.33 (3.95),1.47 (0.35),-0.92 (0.49)
X9_verbalni_fluence_switch_sum,POR,2.10 (2.16),3.90 (2.88),0.97 (0.26),-0.49 (0.35)
X9_verbalni_fluence_switch_pocet_switch,DO,1.73 (2.25),10.41 (3.04),0.83 (0.27),-1.27 (0.37)
X9_verbalni_fluence_switch_pocet_switch,VE,-0.99 (3.56),5.86 (5.06),1.19 (0.41),-0.76 (0.58)
X9_verbalni_fluence_switch_pocet_switch,KOD,-4.46 (1.75),9.71 (2.28),1.65 (0.21),-1.22 (0.27)
X9_verbalni_fluence_switch_pocet_switch,PO,-0.86 (2.50),8.12 (3.46),1.10 (0.29),-0.94 (0.40)
X9_verbalni_fluence_switch_pocet_switch,ŘO,0.89 (1.60),6.36 (2.08),0.85 (0.17),-0.70 (0.23)
X9_verbalni_fluence_switch_pocet_switch,POČ,-4.91 (3.40),5.54 (4.56),1.65 (0.43),-0.61 (0.59)
X9_verbalni_fluence_switch_pocet_switch,KOS,-3.58 (2.77),13.33 (3.33),1.54 (0.36),-1.70 (0.44)
X9_verbalni_fluence_switch_pocet_switch,SLO,-2.67 (2.71),6.91 (3.82),1.39 (0.34),-0.84 (0.47)
X9_verbalni_fluence_switch_pocet_switch,POR,0.53 (2.11),4.28 (2.81),1.01 (0.26),-0.52 (0.34)
X10_konfrontacni_pojmenovani_celkem_spont,DO,11.60 (2.44),5.01 (3.29),1.46 (0.29),-0.78 (0.40)
X10_konfrontacni_pojmenovani_celkem_spont,VE,16.70 (3.60),-5.08 (5.11),0.92 (0.42),0.30 (0.59)
X10_konfrontacni_pojmenovani_celkem_spont,KOD,10.35 (2.29),11.56 (2.99),1.62 (0.27),-1.59 (0.36)
X10_konfrontacni_pojmenovani_celkem_spont,PO,10.51 (2.99),5.29 (4.15),1.60 (0.35),-0.86 (0.48)
X10_konfrontacni_pojmenovani_celkem_spont,ŘO,13.54 (1.96),8.32 (2.60),1.17 (0.21),-1.15 (0.28)
X10_konfrontacni_pojmenovani_celkem_spont,POČ,8.33 (3.86),8.89 (5.17),1.88 (0.49),-1.25 (0.66)
X10_konfrontacni_pojmenovani_celkem_spont,KOS,5.61 (3.09),12.39 (3.73),2.34 (0.40),-1.77 (0.49)
X10_konfrontacni_pojmenovani_celkem_spont,SLO,9.86 (3.24),7.39 (4.57),1.69 (0.40),-1.08 (0.57)
