outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,KOS,MR:mental_age,-1.96 (0.55),-3.558,< .001,*,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,(Intercept),-14.82 (4.07),,,,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,MR,14.92 (5.74),2.601,.012,*,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,mental_age,2.47 (0.50),4.896,< .001,*,*
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,MR:mental_age,-2.25 (0.71),-3.152,.003,*,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,(Intercept),-12.77 (3.28),,,,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,MR,13.62 (4.34),3.136,.003,*,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,mental_age,2.35 (0.39),5.960,< .001,*,*
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,MR:mental_age,-2.22 (0.53),-4.209,< .001,*,
X4_sluchova_pozornost_sum_body,DO,(Intercept),25.31 (2.52),,,,
X4_sluchova_pozornost_sum_body,DO,MR,6.60 (3.40),1.941,.058,,
X4_sluchova_pozornost_sum_body,DO,mental_age,0.49 (0.30),1.620,.111,,
X4_sluchova_pozornost_sum_body,DO,MR:mental_age,-0.86 (0.41),-2.101,.041,*,
X4_sluchova_pozornost_sum_body,VE,(Intercept),28.34 (4.12),,,,
X4_sluchova_pozornost_sum_body,VE,MR,2.71 (5.85),0.463,.645,,
X4_sluchova_pozornost_sum_body,VE,mental_age,0.23 (0.48),0.475,.637,,
X4_sluchova_pozornost_sum_body,VE,MR:mental_age,-0.47 (0.68),-0.702,.486,,
X4_sluchova_pozornost_sum_body,KOD,(Intercept),25.13 (2.20),,,,
X4_sluchova_pozornost_sum_body,KOD,MR,2.86 (2.87),0.996,.324,,
X4_sluchova_pozornost_sum_body,KOD,mental_age,0.47 (0.26),1.793,.079,,
X4_sluchova_pozornost_sum_body,KOD,MR:mental_age,-0.35 (0.34),-1.005,.320,,
X4_sluchova_pozornost_sum_body,PO,(Intercept),27.05 (2.68),,,,
X4_sluchova_pozornost_sum_body,PO,MR,0.02 (3.71),0.005,.996,,
X4_sluchova_pozornost_sum_body,PO,mental_age,0.33 (0.31),1.065,.292,,
X4_sluchova_pozornost_sum_body,PO,MR:mental_age,-0.11 (0.43),-0.257,.798,,
X4_sluchova_pozornost_sum_body,ŘO,(Intercept),25.33 (1.87),,,,
X4_sluchova_pozornost_sum_body,ŘO,MR,3.13 (2.48),1.264,.212,,
X4_sluchova_pozornost_sum_body,ŘO,mental_age,0.40 (0.20),1.998,.051,,
X4_sluchova_pozornost_sum_body,ŘO,MR:mental_age,-0.34 (0.27),-1.289,.203,,
X4_sluchova_pozornost_sum_body,POČ,(Intercept),26.16 (3.81),,,,
X4_sluchova_pozornost_sum_body,POČ,MR,-4.85 (5.11),-0.950,.347,,
X4_sluchova_pozornost_sum_body,POČ,mental_age,0.46 (0.49),0.942,.351,,
X4_sluchova_pozornost_sum_body,POČ,MR:mental_age,0.53 (0.66),0.816,.418,,
X4_sluchova_pozornost_sum_body,KOS,(Intercept),25.06 (3.39),,,,
X4_sluchova_pozornost_sum_body,KOS,MR,3.14 (4.08),0.770,.445,,
X4_sluchova_pozornost_sum_body,KOS,mental_age,0.55 (0.44),1.247,.218,,
X4_sluchova_pozornost_sum_body,KOS,MR:mental_age,-0.45 (0.53),-0.833,.409,,
X4_sluchova_pozornost_sum_body,SLO,(Intercept),27.10 (3.25),,,,
X4_sluchova_pozornost_sum_body,SLO,MR,-4.87 (4.58),-1.063,.293,,
X4_sluchova_pozornost_sum_body,SLO,mental_age,0.28 (0.40),0.694,.491,,
X4_sluchova_pozornost_sum_body,SLO,MR:mental_age,0.57 (0.57),0.994,.325,,
X4_sluchova_pozornost_sum_body,POR,(Intercept),25.21 (2.31),,,,
X4_sluchova_pozornost_sum_body,POR,MR,-2.43 (3.08),-0.790,.433,,
X4_sluchova_pozornost_sum_body,POR,mental_age,0.52 (0.28),1.863,.068,,
X4_sluchova_pozornost_sum_body,POR,MR:mental_age,0.26 (0.38),0.702,.486,,
X4_sluchova_pozornost_opomenuti,DO,(Intercept),6.61 (2.45),,,,
X4_sluchova_pozornost_opomenuti,DO,MR,-7.01 (3.31),-2.122,.039,*,
X4_sluchova_pozornost_opomenuti,DO,mental_age,-0.50 (0.29),-1.690,.097,,
X4_sluchova_pozornost_opomenuti,DO,MR:mental_age,0.91 (0.40),2.279,.027,*,
X4_sluchova_pozornost_opomenuti,VE,(Intercept),2.77 (3.95),,,,
X4_sluchova_pozornost_opomenuti,VE,MR,-4.06 (5.60),-0.726,.471,,
X4_sluchova_pozornost_opomenuti,VE,mental_age,-0.14 (0.46),-0.296,.768,,
X4_sluchova_pozornost_opomenuti,VE,MR:mental_age,0.62 (0.65),0.964,.340,,
X4_sluchova_pozornost_opomenuti,KOD,(Intercept),6.90 (2.23),,,,
X4_sluchova_pozornost_opomenuti,KOD,MR,-3.66 (2.88),-1.272,.209,,
X4_sluchova_pozornost_opomenuti,KOD,mental_age,-0.49 (0.27),-1.833,.073,,
X4_sluchova_pozornost_opomenuti,KOD,MR:mental_age,0.45 (0.35),1.282,.206,,
X4_sluchova_pozornost_opomenuti,PO,(Intercept),5.20 (2.71),,,,
X4_sluchova_pozornost_opomenuti,PO,MR,-0.78 (3.75),-0.208,.836,,
X4_sluchova_pozornost_opomenuti,PO,mental_age,-0.37 (0.32),-1.162,.251,,
X4_sluchova_pozornost_opomenuti,PO,MR:mental_age,0.18 (0.44),0.422,.675,,
X4_sluchova_pozornost_opomenuti,ŘO,(Intercept),6.67 (1.88),,,,
X4_sluchova_pozornost_opomenuti,ŘO,MR,-3.96 (2.49),-1.588,.118,,
X4_sluchova_pozornost_opomenuti,ŘO,mental_age,-0.40 (0.20),-1.986,.052,,
X4_sluchova_pozornost_opomenuti,ŘO,MR:mental_age,0.42 (0.27),1.562,.124,,
X4_sluchova_pozornost_opomenuti,POČ,(Intercept),5.84 (3.91),,,,
X4_sluchova_pozornost_opomenuti,POČ,MR,3.00 (5.24),0.573,.569,,
X4_sluchova_pozornost_opomenuti,POČ,mental_age,-0.46 (0.50),-0.919,.362,,
X4_sluchova_pozornost_opomenuti,POČ,MR:mental_age,-0.32 (0.67),-0.472,.639,,
X4_sluchova_pozornost_opomenuti,KOS,(Intercept),6.94 (3.39),,,,
X4_sluchova_pozornost_opomenuti,KOS,MR,-2.74 (4.09),-0.670,.506,,
X4_sluchova_pozornost_opomenuti,KOS,mental_age,-0.55 (0.44),-1.244,.219,,
X4_sluchova_pozornost_opomenuti,KOS,MR:mental_age,0.36 (0.54),0.680,.499,,
X4_sluchova_pozornost_opomenuti,SLO,(Intercept),4.57 (3.22),,,,
X4_sluchova_pozornost_opomenuti,SLO,MR,3.55 (4.53),0.783,.437,,
X4_sluchova_pozornost_opomenuti,SLO,mental_age,-0.25 (0.40),-0.631,.530,,
X4_sluchova_pozornost_opomenuti,SLO,MR:mental_age,-0.41 (0.56),-0.724,.472,,
X4_sluchova_pozornost_opomenuti,POR,(Intercept),6.55 (2.27),,,,
X4_sluchova_pozornost_opomenuti,POR,MR,2.08 (3.03),0.687,.495,,
X4_sluchova_pozornost_opomenuti,POR,mental_age,-0.50 (0.28),-1.833,.073,,
X4_sluchova_pozornost_opomenuti,POR,MR:mental_age,-0.23 (0.37),-0.614,.542,,
X4_sluchova_pozornost_zamena,DO,(Intercept),2.08 (1.27),,,,
X4_sluchova_pozornost_zamena,DO,MR,0.52 (1.72),0.300,.765,,
X4_sluchova_pozornost_zamena,DO,mental_age,-0.18 (0.15),-1.154,.254,,
X4_sluchova_pozornost_zamena,DO,MR:mental_age,0.00 (0.21),0.021,.983,,
X4_sluchova_pozornost_zamena,VE,(Intercept),1.20 (2.07),,,,
X4_sluchova_pozornost_zamena,VE,MR,1.15 (2.93),0.391,.697,,
X4_sluchova_pozornost_zamena,VE,mental_age,-0.09 (0.24),-0.393,.696,,
X4_sluchova_pozornost_zamena,VE,MR:mental_age,-0.04 (0.34),-0.112,.911,,
X4_sluchova_pozornost_zamena,KOD,(Intercept),1.83 (1.07),,,,
X4_sluchova_pozornost_zamena,KOD,MR,-0.52 (1.38),-0.375,.709,,
X4_sluchova_pozornost_zamena,KOD,mental_age,-0.16 (0.13),-1.239,.221,,
X4_sluchova_pozornost_zamena,KOD,MR:mental_age,0.15 (0.17),0.875,.386,,
X4_sluchova_pozornost_zamena,PO,(Intercept),2.96 (1.50),,,,
X4_sluchova_pozornost_zamena,PO,MR,-0.88 (2.07),-0.424,.673,,
X4_sluchova_pozornost_zamena,PO,mental_age,-0.27 (0.17),-1.553,.126,,
X4_sluchova_pozornost_zamena,PO,MR:mental_age,0.17 (0.24),0.692,.492,,
X4_sluchova_pozornost_zamena,ŘO,(Intercept),1.47 (0.87),,,,
X4_sluchova_pozornost_zamena,ŘO,MR,1.62 (1.16),1.404,.166,,
X4_sluchova_pozornost_zamena,ŘO,mental_age,-0.11 (0.09),-1.164,.250,,
X4_sluchova_pozornost_zamena,ŘO,MR:mental_age,-0.11 (0.12),-0.879,.384,,
X4_sluchova_pozornost_zamena,POČ,(Intercept),2.10 (2.11),,,,
X4_sluchova_pozornost_zamena,POČ,MR,0.52 (2.83),0.184,.855,,
X4_sluchova_pozornost_zamena,POČ,mental_age,-0.17 (0.27),-0.645,.522,,
X4_sluchova_pozornost_zamena,POČ,MR:mental_age,-0.01 (0.36),-0.025,.980,,
X4_sluchova_pozornost_zamena,KOS,(Intercept),2.49 (1.56),,,,
X4_sluchova_pozornost_zamena,KOS,MR,0.38 (1.88),0.205,.839,,
X4_sluchova_pozornost_zamena,KOS,mental_age,-0.26 (0.20),-1.275,.208,,
X4_sluchova_pozornost_zamena,KOS,MR:mental_age,0.03 (0.25),0.106,.916,,
X4_sluchova_pozornost_zamena,SLO,(Intercept),2.95 (1.62),,,,
X4_sluchova_pozornost_zamena,SLO,MR,-0.08 (2.29),-0.034,.973,,
X4_sluchova_pozornost_zamena,SLO,mental_age,-0.29 (0.20),-1.423,.161,,
X4_sluchova_pozornost_zamena,SLO,MR:mental_age,0.08 (0.28),0.270,.788,,
X4_sluchova_pozornost_zamena,POR,(Intercept),2.29 (1.19),,,,
X4_sluchova_pozornost_zamena,POR,MR,-0.39 (1.59),-0.247,.806,,
X4_sluchova_pozornost_zamena,POR,mental_age,-0.21 (0.14),-1.422,.161,,
X4_sluchova_pozornost_zamena,POR,MR:mental_age,0.12 (0.19),0.609,.545,,
X4_sluchova_pozornost_inhibice,DO,(Intercept),5.91 (2.13),,,,
X4_sluchova_pozornost_inhibice,DO,MR,-5.28 (2.88),-1.836,.072,,
X4_sluchova_pozornost_inhibice,DO,mental_age,-0.55 (0.25),-2.138,.037,*,
X4_sluchova_pozornost_inhibice,DO,MR:mental_age,0.50 (0.35),1.441,.156,,
X4_sluchova_pozornost_inhibice,VE,(Intercept),-0.27 (1.07),,,,
X4_sluchova_pozornost_inhibice,VE,MR,2.38 (1.51),1.575,.121,,
X4_sluchova_pozornost_inhibice,VE,mental_age,0.05 (0.12),0.390,.698,,
X4_sluchova_pozornost_inhibice,VE,MR:mental_age,-0.27 (0.17),-1.518,.135,,
X4_sluchova_pozornost_inhibice,KOD,(Intercept),7.15 (2.53),,,,
X4_sluchova_pozornost_inhibice,KOD,MR,-6.20 (3.28),-1.891,.064,,
X4_sluchova_pozornost_inhibice,KOD,mental_age,-0.65 (0.30),-2.141,.037,*,
X4_sluchova_pozornost_inhibice,KOD,MR:mental_age,0.56 (0.40),1.416,.163,,
X4_sluchova_pozornost_inhibice,PO,(Intercept),14.44 (3.48),,,,
X4_sluchova_pozornost_inhibice,PO,MR,-14.47 (4.82),-3.004,.004,*,
X4_sluchova_pozornost_inhibice,PO,mental_age,-1.47 (0.40),-3.637,< .001,*,
X4_sluchova_pozornost_inhibice,PO,MR:mental_age,1.51 (0.56),2.683,.010,*,
X4_sluchova_pozornost_inhibice,ŘO,(Intercept),6.41 (2.27),,,,
X4_sluchova_pozornost_inhibice,ŘO,MR,-5.79 (3.01),-1.927,.060,,
X4_sluchova_pozornost_inhibice,ŘO,mental_age,-0.49 (0.24),-2.021,.048,*,
X4_sluchova_pozornost_inhibice,ŘO,MR:mental_age,0.44 (0.32),1.379,.174,,
X4_sluchova_pozornost_inhibice,POČ,(Intercept),17.47 (4.77),,,,
X4_sluchova_pozornost_inhibice,POČ,MR,-15.61 (6.40),-2.438,.018,*,
X4_sluchova_pozornost_inhibice,POČ,mental_age,-1.99 (0.61),-3.256,.002,*,
X4_sluchova_pozornost_inhibice,POČ,MR:mental_age,1.78 (0.82),2.163,.035,*,
X4_sluchova_pozornost_inhibice,KOS,(Intercept),11.89 (3.72),,,,
X4_sluchova_pozornost_inhibice,KOS,MR,-12.40 (4.49),-2.763,.008,*,
X4_sluchova_pozornost_inhibice,KOS,mental_age,-1.32 (0.48),-2.734,.009,*,
X4_sluchova_pozornost_inhibice,KOS,MR:mental_age,1.43 (0.59),2.423,.019,*,
X4_sluchova_pozornost_inhibice,SLO,(Intercept),14.13 (3.91),,,,
X4_sluchova_pozornost_inhibice,SLO,MR,-12.78 (5.51),-2.319,.024,*,
X4_sluchova_pozornost_inhibice,SLO,mental_age,-1.52 (0.49),-3.128,.003,*,
X4_sluchova_pozornost_inhibice,SLO,MR:mental_age,1.38 (0.68),2.014,.049,*,
X4_sluchova_pozornost_inhibice,POR,(Intercept),7.64 (2.79),,,,
X4_sluchova_pozornost_inhibice,POR,MR,-7.20 (3.72),-1.934,.059,,
X4_sluchova_pozornost_inhibice,POR,mental_age,-0.75 (0.34),-2.207,.032,*,
X4_sluchova_pozornost_inhibice,POR,MR:mental_age,0.72 (0.45),1.590,.118,,
X5_zrakova_pozornost_n_hlav,DO,(Intercept),-7.53 (18.15),,,,
X5_zrakova_pozornost_n_hlav,DO,MR,73.02 (24.52),2.978,.004,*,
X5_zrakova_pozornost_n_hlav,DO,mental_age,7.96 (2.17),3.663,< .001,*,
X5_zrakova_pozornost_n_hlav,DO,MR:mental_age,-6.78 (2.95),-2.298,.026,*,
X5_zrakova_pozornost_n_hlav,VE,(Intercept),42.86 (25.82),,,,
X5_zrakova_pozornost_n_hlav,VE,MR,-65.09 (36.65),-1.776,.082,,
X5_zrakova_pozornost_n_hlav,VE,mental_age,2.21 (2.98),0.739,.463,,
X5_zrakova_pozornost_n_hlav,VE,MR:mental_age,9.15 (4.24),2.158,.036,*,
X5_zrakova_pozornost_n_hlav,KOD,(Intercept),-4.54 (13.81),,,,
X5_zrakova_pozornost_n_hlav,KOD,MR,49.72 (18.05),2.754,.008,*,
X5_zrakova_pozornost_n_hlav,KOD,mental_age,7.45 (1.64),4.547,< .001,*,
X5_zrakova_pozornost_n_hlav,KOD,MR:mental_age,-3.60 (2.17),-1.659,.103,,
X5_zrakova_pozornost_n_hlav,PO,(Intercept),10.04 (19.92),,,,
X5_zrakova_pozornost_n_hlav,PO,MR,24.64 (27.59),0.893,.376,,
X5_zrakova_pozornost_n_hlav,PO,mental_age,5.82 (2.32),2.514,.015,*,
X5_zrakova_pozornost_n_hlav,PO,MR:mental_age,-1.03 (3.21),-0.321,.750,,
X5_zrakova_pozornost_n_hlav,ŘO,(Intercept),3.23 (12.64),,,,
X5_zrakova_pozornost_n_hlav,ŘO,MR,57.21 (16.75),3.415,.001,*,
X5_zrakova_pozornost_n_hlav,ŘO,mental_age,6.15 (1.34),4.589,< .001,*,
X5_zrakova_pozornost_n_hlav,ŘO,MR:mental_age,-4.47 (1.79),-2.493,.016,*,
X5_zrakova_pozornost_n_hlav,POČ,(Intercept),1.20 (26.80),,,,
X5_zrakova_pozornost_n_hlav,POČ,MR,26.47 (35.96),0.736,.465,,
X5_zrakova_pozornost_n_hlav,POČ,mental_age,6.95 (3.43),2.028,.048,*,
X5_zrakova_pozornost_n_hlav,POČ,MR:mental_age,-0.78 (4.61),-0.169,.867,,
X5_zrakova_pozornost_n_hlav,KOS,(Intercept),-2.77 (21.51),,,,
X5_zrakova_pozornost_n_hlav,KOS,MR,47.47 (25.93),1.831,.073,,
X5_zrakova_pozornost_n_hlav,KOS,mental_age,7.32 (2.79),2.625,.011,*,
X5_zrakova_pozornost_n_hlav,KOS,MR:mental_age,-3.10 (3.40),-0.910,.367,,
X5_zrakova_pozornost_n_hlav,SLO,(Intercept),15.35 (22.05),,,,
X5_zrakova_pozornost_n_hlav,SLO,MR,23.97 (31.08),0.771,.444,,
X5_zrakova_pozornost_n_hlav,SLO,mental_age,5.00 (2.74),1.829,.073,,
X5_zrakova_pozornost_n_hlav,SLO,MR:mental_age,-0.50 (3.86),-0.129,.898,,
X5_zrakova_pozornost_n_hlav,POR,(Intercept),-10.91 (16.29),,,,
X5_zrakova_pozornost_n_hlav,POR,MR,90.12 (21.72),4.149,< .001,*,
X5_zrakova_pozornost_n_hlav,POR,mental_age,8.65 (1.97),4.384,< .001,*,
X5_zrakova_pozornost_n_hlav,POR,MR:mental_age,-9.19 (2.65),-3.466,.001,*,
X5_zrakova_pozornost_n_opomenuti,DO,(Intercept),4.78 (5.85),,,,
X5_zrakova_pozornost_n_opomenuti,DO,MR,1.45 (7.90),0.183,.855,,
X5_zrakova_pozornost_n_opomenuti,DO,mental_age,-0.27 (0.70),-0.380,.705,,
X5_zrakova_pozornost_n_opomenuti,DO,MR:mental_age,0.14 (0.95),0.148,.883,,
X5_zrakova_pozornost_n_opomenuti,VE,(Intercept),8.53 (9.48),,,,
X5_zrakova_pozornost_n_opomenuti,VE,MR,4.12 (13.46),0.306,.761,,
X5_zrakova_pozornost_n_opomenuti,VE,mental_age,-0.58 (1.10),-0.528,.600,,
X5_zrakova_pozornost_n_opomenuti,VE,MR:mental_age,-0.29 (1.56),-0.186,.853,,
X5_zrakova_pozornost_n_opomenuti,KOD,(Intercept),4.57 (4.43),,,,
X5_zrakova_pozornost_n_opomenuti,KOD,MR,4.63 (5.79),0.801,.427,,
X5_zrakova_pozornost_n_opomenuti,KOD,mental_age,-0.20 (0.52),-0.385,.702,,
X5_zrakova_pozornost_n_opomenuti,KOD,MR:mental_age,-0.31 (0.69),-0.450,.655,,
X5_zrakova_pozornost_n_opomenuti,PO,(Intercept),9.05 (7.02),,,,
X5_zrakova_pozornost_n_opomenuti,PO,MR,3.72 (9.71),0.383,.703,,
X5_zrakova_pozornost_n_opomenuti,PO,mental_age,-0.75 (0.82),-0.915,.365,,
X5_zrakova_pozornost_n_opomenuti,PO,MR:mental_age,-0.15 (1.13),-0.133,.894,,
X5_zrakova_pozornost_n_opomenuti,ŘO,(Intercept),5.96 (3.93),,,,
X5_zrakova_pozornost_n_opomenuti,ŘO,MR,2.03 (5.20),0.390,.698,,
X5_zrakova_pozornost_n_opomenuti,ŘO,mental_age,-0.42 (0.42),-1.010,.317,,
X5_zrakova_pozornost_n_opomenuti,ŘO,MR:mental_age,0.10 (0.56),0.180,.858,,
X5_zrakova_pozornost_n_opomenuti,POČ,(Intercept),8.69 (11.90),,,,
X5_zrakova_pozornost_n_opomenuti,POČ,MR,-2.95 (15.96),-0.185,.854,,
X5_zrakova_pozornost_n_opomenuti,POČ,mental_age,-0.54 (1.52),-0.356,.723,,
X5_zrakova_pozornost_n_opomenuti,POČ,MR:mental_age,0.47 (2.05),0.231,.818,,
X5_zrakova_pozornost_n_opomenuti,KOS,(Intercept),5.35 (6.92),,,,
X5_zrakova_pozornost_n_opomenuti,KOS,MR,7.01 (8.34),0.840,.405,,
X5_zrakova_pozornost_n_opomenuti,KOS,mental_age,-0.30 (0.90),-0.334,.739,,
X5_zrakova_pozornost_n_opomenuti,KOS,MR:mental_age,-0.69 (1.09),-0.635,.528,,
X5_zrakova_pozornost_n_opomenuti,SLO,(Intercept),11.16 (7.61),,,,
X5_zrakova_pozornost_n_opomenuti,SLO,MR,-19.36 (10.73),-1.804,.077,,
X5_zrakova_pozornost_n_opomenuti,SLO,mental_age,-0.96 (0.94),-1.021,.312,,
X5_zrakova_pozornost_n_opomenuti,SLO,MR:mental_age,2.66 (1.33),1.993,.051,,
X5_zrakova_pozornost_n_opomenuti,POR,(Intercept),4.75 (5.08),,,,
X5_zrakova_pozornost_n_opomenuti,POR,MR,-4.24 (6.78),-0.625,.534,,
X5_zrakova_pozornost_n_opomenuti,POR,mental_age,-0.28 (0.62),-0.454,.652,,
X5_zrakova_pozornost_n_opomenuti,POR,MR:mental_age,0.88 (0.83),1.064,.292,,
X5_zrakova_pozornost_n_zamena,DO,(Intercept),7.70 (4.64),,,,
X5_zrakova_pozornost_n_zamena,DO,MR,-5.43 (6.26),-0.866,.390,,
X5_zrakova_pozornost_n_zamena,DO,mental_age,-0.66 (0.56),-1.197,.237,,
X5_zrakova_pozornost_n_zamena,DO,MR:mental_age,0.59 (0.75),0.790,.433,,
X5_zrakova_pozornost_n_zamena,VE,(Intercept),2.91 (6.99),,,,
X5_zrakova_pozornost_n_zamena,VE,MR,2.26 (9.92),0.228,.821,,
X5_zrakova_pozornost_n_zamena,VE,mental_age,-0.15 (0.81),-0.183,.856,,
X5_zrakova_pozornost_n_zamena,VE,MR:mental_age,-0.26 (1.15),-0.223,.825,,
X5_zrakova_pozornost_n_zamena,KOD,(Intercept),6.76 (3.68),,,,
X5_zrakova_pozornost_n_zamena,KOD,MR,-2.34 (4.81),-0.486,.629,,
X5_zrakova_pozornost_n_zamena,KOD,mental_age,-0.56 (0.44),-1.292,.202,,
X5_zrakova_pozornost_n_zamena,KOD,MR:mental_age,0.21 (0.58),0.372,.712,,
X5_zrakova_pozornost_n_zamena,PO,(Intercept),9.87 (5.45),,,,
X5_zrakova_pozornost_n_zamena,PO,MR,-2.58 (7.55),-0.341,.734,,
X5_zrakova_pozornost_n_zamena,PO,mental_age,-0.93 (0.63),-1.469,.148,,
X5_zrakova_pozornost_n_zamena,PO,MR:mental_age,0.27 (0.88),0.305,.761,,
X5_zrakova_pozornost_n_zamena,ŘO,(Intercept),6.00 (3.33),,,,
X5_zrakova_pozornost_n_zamena,ŘO,MR,-1.33 (4.41),-0.302,.764,,
X5_zrakova_pozornost_n_zamena,ŘO,mental_age,-0.38 (0.35),-1.081,.285,,
X5_zrakova_pozornost_n_zamena,ŘO,MR:mental_age,0.04 (0.47),0.086,.932,,
X5_zrakova_pozornost_n_zamena,POČ,(Intercept),12.35 (7.28),,,,
X5_zrakova_pozornost_n_zamena,POČ,MR,-5.38 (9.77),-0.550,.584,,
X5_zrakova_pozornost_n_zamena,POČ,mental_age,-1.33 (0.93),-1.424,.160,,
X5_zrakova_pozornost_n_zamena,POČ,MR:mental_age,0.64 (1.25),0.511,.611,,
X5_zrakova_pozornost_n_zamena,KOS,(Intercept),7.15 (5.78),,,,
X5_zrakova_pozornost_n_zamena,KOS,MR,-0.56 (6.97),-0.080,.937,,
X5_zrakova_pozornost_n_zamena,KOS,mental_age,-0.59 (0.75),-0.792,.432,,
X5_zrakova_pozornost_n_zamena,KOS,MR:mental_age,-0.09 (0.91),-0.094,.925,,
X5_zrakova_pozornost_n_zamena,SLO,(Intercept),11.02 (5.92),,,,
X5_zrakova_pozornost_n_zamena,SLO,MR,-12.30 (8.35),-1.474,.147,,
X5_zrakova_pozornost_n_zamena,SLO,mental_age,-1.10 (0.73),-1.502,.139,,
X5_zrakova_pozornost_n_zamena,SLO,MR:mental_age,1.48 (1.04),1.429,.159,,
X5_zrakova_pozornost_n_zamena,POR,(Intercept),6.55 (4.34),,,,
X5_zrakova_pozornost_n_zamena,POR,MR,-3.65 (5.79),-0.631,.531,,
X5_zrakova_pozornost_n_zamena,POR,mental_age,-0.54 (0.53),-1.035,.305,,
X5_zrakova_pozornost_n_zamena,POR,MR:mental_age,0.39 (0.71),0.557,.580,,
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,(Intercept),36.37 (5.84),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,MR,-16.42 (7.89),-2.081,.042,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,mental_age,-1.42 (0.70),-2.028,.048,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,MR:mental_age,1.97 (0.95),2.072,.043,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,(Intercept),31.29 (7.07),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,MR,10.16 (10.03),1.012,.316,,
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,mental_age,-1.14 (0.82),-1.400,.168,,
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,MR:mental_age,-0.85 (1.16),-0.735,.466,,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,(Intercept),43.27 (5.21),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,MR,-8.50 (6.80),-1.249,.217,,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,mental_age,-2.09 (0.62),-3.381,.001,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,MR:mental_age,0.74 (0.82),0.909,.368,,
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,(Intercept),49.07 (7.46),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,MR,-16.63 (10.33),-1.610,.113,,
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,mental_age,-2.70 (0.87),-3.112,.003,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,MR:mental_age,1.74 (1.20),1.445,.154,,
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,(Intercept),45.57 (4.71),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,MR,-19.01 (6.25),-3.042,.004,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,mental_age,-2.23 (0.50),-4.448,< .001,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,MR:mental_age,1.97 (0.67),2.945,.005,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,(Intercept),56.14 (9.54),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,MR,-8.06 (12.80),-0.629,.532,,
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,mental_age,-3.83 (1.22),-3.143,.003,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,MR:mental_age,0.74 (1.64),0.452,.653,,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,(Intercept),53.59 (8.54),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,MR,-32.94 (10.29),-3.201,.002,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,mental_age,-3.50 (1.11),-3.161,.003,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,MR:mental_age,4.01 (1.35),2.974,.004,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,(Intercept),51.63 (8.52),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,MR,-16.22 (12.01),-1.350,.183,,
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,mental_age,-3.31 (1.06),-3.136,.003,*,
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,MR:mental_age,1.92 (1.49),1.286,.204,,
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,(Intercept),45.83 (6.19),,,,
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,MR,-14.19 (8.25),-1.719,.092,,
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,mental_age,-2.47 (0.75),-3.294,.002,*,
