outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X1_verbalni_pamet_a_uceni_pok2,POČ,(Intercept),3.65 (2.63),,,,
X1_verbalni_pamet_a_uceni_pok2,POČ,MR,-3.78 (3.53),-1.071,.289,,
X1_verbalni_pamet_a_uceni_pok2,POČ,mental_age,0.46 (0.34),1.354,.182,,
X1_verbalni_pamet_a_uceni_pok2,POČ,MR:mental_age,0.37 (0.45),0.810,.421,,
X1_verbalni_pamet_a_uceni_pok2,KOS,(Intercept),3.21 (2.10),,,,
X1_verbalni_pamet_a_uceni_pok2,KOS,MR,4.37 (2.53),1.727,.090,,
X1_verbalni_pamet_a_uceni_pok2,KOS,mental_age,0.52 (0.27),1.922,.060,,
X1_verbalni_pamet_a_uceni_pok2,KOS,MR:mental_age,-0.72 (0.33),-2.161,.035,*,
X1_verbalni_pamet_a_uceni_pok2,SLO,(Intercept),2.98 (2.44),,,,
X1_verbalni_pamet_a_uceni_pok2,SLO,MR,1.47 (3.45),0.426,.672,,
X1_verbalni_pamet_a_uceni_pok2,SLO,mental_age,0.57 (0.30),1.877,.066,,
X1_verbalni_pamet_a_uceni_pok2,SLO,MR:mental_age,-0.35 (0.43),-0.818,.417,,
X1_verbalni_pamet_a_uceni_pok2,POR,(Intercept),2.63 (1.62),,,,
X1_verbalni_pamet_a_uceni_pok2,POR,MR,2.07 (2.16),0.956,.343,,
X1_verbalni_pamet_a_uceni_pok2,POR,mental_age,0.68 (0.20),3.444,.001,*,
X1_verbalni_pamet_a_uceni_pok2,POR,MR:mental_age,-0.49 (0.26),-1.852,.070,,
X1_verbalni_pamet_a_uceni_pok3,DO,(Intercept),4.84 (1.99),,,,
X1_verbalni_pamet_a_uceni_pok3,DO,MR,4.71 (2.69),1.749,.086,,
X1_verbalni_pamet_a_uceni_pok3,DO,mental_age,0.50 (0.24),2.103,.040,*,
X1_verbalni_pamet_a_uceni_pok3,DO,MR:mental_age,-0.75 (0.32),-2.323,.024,*,
X1_verbalni_pamet_a_uceni_pok3,VE,(Intercept),4.15 (3.77),,,,
X1_verbalni_pamet_a_uceni_pok3,VE,MR,-3.48 (5.36),-0.650,.518,,
X1_verbalni_pamet_a_uceni_pok3,VE,mental_age,0.56 (0.44),1.277,.207,,
X1_verbalni_pamet_a_uceni_pok3,VE,MR:mental_age,0.24 (0.62),0.395,.695,,
X1_verbalni_pamet_a_uceni_pok3,KOD,(Intercept),3.50 (1.62),,,,
X1_verbalni_pamet_a_uceni_pok3,KOD,MR,1.87 (2.12),0.879,.383,,
X1_verbalni_pamet_a_uceni_pok3,KOD,mental_age,0.61 (0.19),3.148,.003,*,
X1_verbalni_pamet_a_uceni_pok3,KOD,MR:mental_age,-0.33 (0.25),-1.282,.205,,
X1_verbalni_pamet_a_uceni_pok3,PO,(Intercept),5.15 (2.38),,,,
X1_verbalni_pamet_a_uceni_pok3,PO,MR,-3.95 (3.30),-1.198,.236,,
X1_verbalni_pamet_a_uceni_pok3,PO,mental_age,0.47 (0.28),1.703,.094,,
X1_verbalni_pamet_a_uceni_pok3,PO,MR:mental_age,0.28 (0.38),0.730,.469,,
X1_verbalni_pamet_a_uceni_pok3,ŘO,(Intercept),5.25 (1.53),,,,
X1_verbalni_pamet_a_uceni_pok3,ŘO,MR,1.46 (2.02),0.722,.474,,
X1_verbalni_pamet_a_uceni_pok3,ŘO,mental_age,0.40 (0.16),2.450,.018,*,
X1_verbalni_pamet_a_uceni_pok3,ŘO,MR:mental_age,-0.30 (0.22),-1.394,.169,,
X1_verbalni_pamet_a_uceni_pok3,POČ,(Intercept),2.66 (3.22),,,,
X1_verbalni_pamet_a_uceni_pok3,POČ,MR,-1.24 (4.33),-0.287,.775,,
X1_verbalni_pamet_a_uceni_pok3,POČ,mental_age,0.70 (0.41),1.705,.094,,
X1_verbalni_pamet_a_uceni_pok3,POČ,MR:mental_age,0.09 (0.55),0.170,.865,,
X1_verbalni_pamet_a_uceni_pok3,KOS,(Intercept),2.51 (2.62),,,,
X1_verbalni_pamet_a_uceni_pok3,KOS,MR,5.81 (3.15),1.842,.071,,
X1_verbalni_pamet_a_uceni_pok3,KOS,mental_age,0.73 (0.34),2.145,.037,*,
X1_verbalni_pamet_a_uceni_pok3,KOS,MR:mental_age,-0.84 (0.41),-2.021,.048,*,
X1_verbalni_pamet_a_uceni_pok3,SLO,(Intercept),3.72 (3.16),,,,
X1_verbalni_pamet_a_uceni_pok3,SLO,MR,1.80 (4.45),0.404,.688,,
X1_verbalni_pamet_a_uceni_pok3,SLO,mental_age,0.59 (0.39),1.514,.136,,
X1_verbalni_pamet_a_uceni_pok3,SLO,MR:mental_age,-0.34 (0.55),-0.612,.543,,
X1_verbalni_pamet_a_uceni_pok3,POR,(Intercept),4.34 (2.09),,,,
X1_verbalni_pamet_a_uceni_pok3,POR,MR,1.35 (2.78),0.486,.629,,
X1_verbalni_pamet_a_uceni_pok3,POR,mental_age,0.59 (0.25),2.329,.024,*,
X1_verbalni_pamet_a_uceni_pok3,POR,MR:mental_age,-0.35 (0.34),-1.044,.302,,
X1_verbalni_pamet_a_uceni_pok4,DO,(Intercept),3.85 (2.15),,,,
X1_verbalni_pamet_a_uceni_pok4,DO,MR,6.98 (2.91),2.401,.020,*,
X1_verbalni_pamet_a_uceni_pok4,DO,mental_age,0.71 (0.26),2.743,.008,*,
X1_verbalni_pamet_a_uceni_pok4,DO,MR:mental_age,-1.01 (0.35),-2.888,.006,*,
X1_verbalni_pamet_a_uceni_pok4,VE,(Intercept),5.08 (3.70),,,,
X1_verbalni_pamet_a_uceni_pok4,VE,MR,-3.63 (5.25),-0.691,.493,,
X1_verbalni_pamet_a_uceni_pok4,VE,mental_age,0.59 (0.43),1.390,.171,,
X1_verbalni_pamet_a_uceni_pok4,VE,MR:mental_age,0.22 (0.61),0.355,.724,,
X1_verbalni_pamet_a_uceni_pok4,KOD,(Intercept),5.64 (1.80),,,,
X1_verbalni_pamet_a_uceni_pok4,KOD,MR,-0.29 (2.35),-0.122,.903,,
X1_verbalni_pamet_a_uceni_pok4,KOD,mental_age,0.41 (0.21),1.897,.063,,
X1_verbalni_pamet_a_uceni_pok4,KOD,MR:mental_age,-0.01 (0.28),-0.045,.965,,
X1_verbalni_pamet_a_uceni_pok4,PO,(Intercept),3.44 (2.46),,,,
X1_verbalni_pamet_a_uceni_pok4,PO,MR,0.37 (3.41),0.109,.914,,
X1_verbalni_pamet_a_uceni_pok4,PO,mental_age,0.79 (0.29),2.773,.008,*,
X1_verbalni_pamet_a_uceni_pok4,PO,MR:mental_age,-0.25 (0.40),-0.627,.533,,
X1_verbalni_pamet_a_uceni_pok4,ŘO,(Intercept),5.99 (1.56),,,,
X1_verbalni_pamet_a_uceni_pok4,ŘO,MR,0.56 (2.07),0.268,.789,,
X1_verbalni_pamet_a_uceni_pok4,ŘO,mental_age,0.42 (0.17),2.543,.014,*,
X1_verbalni_pamet_a_uceni_pok4,ŘO,MR:mental_age,-0.21 (0.22),-0.942,.351,,
X1_verbalni_pamet_a_uceni_pok4,POČ,(Intercept),0.33 (3.65),,,,
X1_verbalni_pamet_a_uceni_pok4,POČ,MR,0.14 (4.90),0.029,.977,,
X1_verbalni_pamet_a_uceni_pok4,POČ,mental_age,1.09 (0.47),2.326,.024,*,
X1_verbalni_pamet_a_uceni_pok4,POČ,MR:mental_age,-0.05 (0.63),-0.086,.932,,
X1_verbalni_pamet_a_uceni_pok4,KOS,(Intercept),7.01 (2.98),,,,
X1_verbalni_pamet_a_uceni_pok4,KOS,MR,-0.34 (3.59),-0.095,.925,,
X1_verbalni_pamet_a_uceni_pok4,KOS,mental_age,0.22 (0.39),0.568,.572,,
X1_verbalni_pamet_a_uceni_pok4,KOS,MR:mental_age,0.02 (0.47),0.043,.966,,
X1_verbalni_pamet_a_uceni_pok4,SLO,(Intercept),4.15 (3.14),,,,
X1_verbalni_pamet_a_uceni_pok4,SLO,MR,2.78 (4.43),0.627,.533,,
X1_verbalni_pamet_a_uceni_pok4,SLO,mental_age,0.64 (0.39),1.633,.108,,
X1_verbalni_pamet_a_uceni_pok4,SLO,MR:mental_age,-0.45 (0.55),-0.822,.415,,
X1_verbalni_pamet_a_uceni_pok4,POR,(Intercept),6.05 (2.28),,,,
X1_verbalni_pamet_a_uceni_pok4,POR,MR,1.82 (3.05),0.599,.552,,
X1_verbalni_pamet_a_uceni_pok4,POR,mental_age,0.40 (0.28),1.442,.155,,
X1_verbalni_pamet_a_uceni_pok4,POR,MR:mental_age,-0.33 (0.37),-0.894,.375,,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,(Intercept),13.50 (6.23),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,MR,21.02 (8.42),2.498,.016,*,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,mental_age,2.20 (0.75),2.942,.005,*,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,MR:mental_age,-3.24 (1.01),-3.200,.002,*,
X1_verbalni_pamet_a_uceni_pok_1.4,VE,(Intercept),19.95 (10.56),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,VE,MR,-15.35 (14.99),-1.024,.310,,
X1_verbalni_pamet_a_uceni_pok_1.4,VE,mental_age,1.41 (1.22),1.155,.254,,
X1_verbalni_pamet_a_uceni_pok_1.4,VE,MR:mental_age,1.11 (1.73),0.638,.526,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,(Intercept),16.21 (4.57),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,MR,1.06 (5.97),0.178,.860,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,mental_age,1.77 (0.54),3.262,.002,*,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,MR:mental_age,-0.62 (0.72),-0.869,.389,,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,(Intercept),20.44 (6.57),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,MR,-9.53 (9.09),-1.048,.299,,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,mental_age,1.35 (0.76),1.763,.084,,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,MR:mental_age,0.46 (1.06),0.437,.664,,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,(Intercept),20.81 (4.11),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,MR,0.70 (5.45),0.129,.898,,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,mental_age,1.20 (0.44),2.750,.008,*,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,MR:mental_age,-0.67 (0.58),-1.142,.259,,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,(Intercept),7.53 (9.16),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,MR,-6.33 (12.29),-0.515,.609,,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,mental_age,2.78 (1.17),2.373,.021,*,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,MR:mental_age,0.47 (1.58),0.299,.766,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,(Intercept),13.17 (7.48),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,MR,13.45 (9.02),1.492,.142,,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,mental_age,2.13 (0.97),2.196,.033,*,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,MR:mental_age,-2.20 (1.18),-1.857,.069,,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,(Intercept),13.65 (8.82),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,MR,6.38 (12.44),0.513,.610,,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,mental_age,2.11 (1.09),1.925,.060,,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,MR:mental_age,-1.34 (1.55),-0.864,.391,,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,(Intercept),13.13 (5.91),,,,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,MR,7.98 (7.88),1.013,.316,,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,mental_age,2.38 (0.72),3.327,.002,*,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,MR:mental_age,-1.74 (0.96),-1.809,.076,,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,(Intercept),3.24 (1.61),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,MR,-0.67 (2.17),-0.308,.759,,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,mental_age,-0.16 (0.19),-0.812,.420,,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,MR:mental_age,0.05 (0.26),0.191,.849,,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,(Intercept),0.77 (2.49),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,MR,-4.19 (3.53),-1.187,.241,,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,mental_age,0.10 (0.29),0.340,.736,,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,MR:mental_age,0.50 (0.41),1.229,.225,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,(Intercept),2.61 (1.56),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,MR,-3.44 (2.04),-1.685,.098,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,mental_age,-0.02 (0.19),-0.120,.905,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,MR:mental_age,0.35 (0.25),1.430,.159,,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,(Intercept),5.72 (2.14),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,MR,-4.64 (2.96),-1.569,.123,,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,mental_age,-0.38 (0.25),-1.549,.128,,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,MR:mental_age,0.46 (0.34),1.337,.187,,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,(Intercept),2.76 (1.31),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,MR,-2.15 (1.73),-1.239,.221,,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,mental_age,-0.06 (0.14),-0.413,.682,,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,MR:mental_age,0.18 (0.19),0.990,.327,,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,(Intercept),5.26 (2.78),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,MR,-8.88 (3.73),-2.381,.021,*,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,mental_age,-0.37 (0.36),-1.054,.297,,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,MR:mental_age,1.07 (0.48),2.236,.030,*,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,(Intercept),4.59 (2.33),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,MR,-2.35 (2.81),-0.835,.408,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,mental_age,-0.28 (0.30),-0.941,.351,,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,MR:mental_age,0.21 (0.37),0.572,.570,,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,(Intercept),3.51 (2.05),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,MR,0.53 (2.89),0.183,.855,,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,mental_age,-0.19 (0.25),-0.746,.459,,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,MR:mental_age,-0.10 (0.36),-0.288,.775,,
X1_verbalni_pamet_a_uceni_opak_1.4,POR,(Intercept),1.36 (1.96),,,,
X1_verbalni_pamet_a_uceni_opak_1.4,POR,MR,0.12 (2.61),0.047,.963,,
X1_verbalni_pamet_a_uceni_opak_1.4,POR,mental_age,0.15 (0.24),0.635,.528,,
